n,geo,approach,name,keys,audience,angle,hook,hookRu,format,bridgeArticle,potential,potentialWhy,risk,metaFlag
11,DE,угол первым,кредиты · DE · угол «самозанятым отказали»,Kredit für Selbstständige | Gründerkredit | Kredit für Existenzgründer | Kredit für Selbstständige ohne Schufa,"28–55, фрилансеры, ремесленники, водители на себя",Почему банк отказывает самозанятым и где им реально дают кредит в 2026,Selbstständig und von der Hausbank abgelehnt? So bekommen Freelancer 2026 trotzdem einen Kredit.,Самозанятый и свой банк отказал? Как фрилансеры в 2026 всё-таки получают кредит.,видео UGC 9:16 (мастер в фургоне) TT + FB,"Kredit für Selbstständige 2026: Voraussetzungen, Anbieter, Tipps",средний,"Planner «kredit für selbstständige» 2 400, «gründerkredit» 1 000; донор US «Business Line of Credit» — «средний» (другие)",смешение B2B и потребкредита — статья должна держать обе темы,
12,DE,угол первым,кредиты · DE · угол «новые в Германии — нет SCHUFA»,Kredit ohne Schufa | Girokonto ohne Schufa | Kreditkarte ohne Schufa | Kredit aus dem Ausland,"22–45, недавно переехавшие (ЕС и не только); язык крео — немецкий (язык таргета)",Почему новичку в Германии отказывают в кредите и как за полгода стать «кредитоспособным»,Neu in Deutschland und noch keine Schufa? Warum Banken Nein sagen – und wie Sie in 6 Monaten kreditwürdig werden.,Недавно в Германии и ещё нет SCHUFA? Почему банки отказывают — и как за 6 месяцев стать кредитоспособным.,видео UGC 9:16 (молодой человек с чемоданом у Bürgeramt) TT,"Ohne Schufa-Historie in Deutschland: Konto, Kreditkarte, erster Kredit",средний,"Planner «kredit ohne schufa» 49 500, «kreditkarte ohne schufa» 9 900, «girokonto ohne schufa» 1 600; класса нет",мигрантов настройкой не выбрать — аудитория только в крео; «ohne Schufa» — Meta-риск,Meta: высокий риск — «без проверки»
13,DE,угол первым,кредиты · DE · угол «авто: платёж-баллон»,Autokredit | Ballonfinanzierung | Autokredit mit Schlussrate | Autokredit Vergleich,"25–55, покупают машину в кредит",Что скрывает маленький ежемесячный платёж за машину: финальный «баллон» и как его считать,Neuwagen für 199 € im Monat? Die Schlussrate über 15.000 € sieht man erst am Ende.,Новая машина за 199 € в месяц? Финальный платёж на 15 000 € видно только в конце.,"видео UGC 9:16 (у салона, ключи в руке) TT + FB",Ballonfinanzierung 2026: Was die Schlussrate wirklich kostet,средний,"Planner «autokredit» 27 100, «autokredit vergleich» 6 600 (+22%), «ballonfinanzierung» 2 900 (+21%); донор FR «Voiture 99 € par mois» — «средний» (другие); в DE класса нет",цифры платежа на крео — при отклонении убрать первыми,
14,DE,угол первым (мост к товарке «теплонасосы»),кредиты · DE · угол «госкредит на отопление»,Modernisierungskredit | Renovierungskredit | Kredit 10000 Euro,"40–70, владельцы домов, старое отопление",Какие государственные и банковские кредиты есть на замену отопления и ремонт и сколько они стоят,"Heizung kaputt, Wärmepumpe zu teuer? Diesen staatlichen Förderkredit kennen die wenigsten Hausbesitzer.","Отопление сломалось, теплонасос слишком дорогой? Этот госкредит знают немногие владельцы домов.","статика FB (котельная, мужчина 55+) + видео TT",Modernisierungskredit 2026: KfW-Förderkredit oder Bankkredit für die Heizung?,средний,"Planner «modernisierungskredit» 5 400/мес (+23%), «renovierungskredit» 1 600; своей выплаты нет; KfW-кредит 358/359 до 120 000 € на жильё (по сниппету finanztip/priwatt)",«Förderkredit» может увести в госпрограммы с низкой выплатой,
15,DE,угол первым,кредиты · DE · угол «фиксация ставки заканчивается»,Anschlussfinanzierung | Baufinanzierungsrechner | Baufinanzierung | Immobilienkredit,"40–65, у кого ипотека с фиксацией до 2026–2027","Что делать, когда заканчивается фиксация ставки по ипотеке, и сколько можно сэкономить сравнением","Zinsbindung läuft aus? Wer jetzt nicht vergleicht, zahlt oft Tausende Euro mehr – so rechnen Sie es in 3 Minuten nach.",Фиксация ставки заканчивается? Кто сейчас не сравнит — часто переплатит тысячи евро. Посчитайте за 3 минуты.,карусель FB (3 банка — 3 ставки без цифр) + статика,"Anschlussfinanzierung 2026: Rechner, Fristen, Vergleich",высокий,"Planner «baufinanzierungsrechner» 33 100 (+22%), «baufinanzierung» 18 100 (+22%), «anschlussfinanzierung» 6 600 (+50%); паттерн «калькулятор» — наш самый дорогой (HU/PT $0.39–0.46)",ипотечные ключи у нас не измерены ни в одном гео — оценка только по паттерну,
16,DE,"ключ первым (паттерн «калькулятор», донор $0.459)",кредиты · DE · угол «один клиент — две цены»,Kredit 10000 Euro | Kreditvergleich | Privatkredit | Ratenkredit,"25–60, берут потребкредит 5–20 тыс. €",Почему за один и тот же кредит 10 000 € разные банки берут в 2–3 раза разные проценты,"10.000 € Kredit: Bei Bank A 1.100 € Zinsen, bei Bank B 2.900 € – für denselben Kunden. Wie kann das sein?","Кредит 10 000 €: в банке А 1 100 € процентов, в банке Б 2 900 € — для одного и того же клиента. Как так?",карусель FB «Bank A / Bank B» + видео TT,Kredit 10.000 Euro 2026: Was er wirklich kostet – Rechner und Vergleich,высокий,"донор HU «Mbh … Kalkulátor» $0.459, PT «Simulador» $0.390; Planner «kreditvergleich» 40 500, «privatkredit» 18 100, «kredit 10000 euro» 3 600",цифры процентов на крео — зона правил о кредитах; при отклонении — «Bank A zahlt doppelt so viel» без сумм,
17,DE,угол первым,кредиты · DE · угол «золото бабушки»,Pfandkredit | Kleinkredit | Kredit ohne Bonitätsprüfung,"45–75, есть украшения/часы, нужна небольшая сумма",Как работает кредит под залог вещи в ломбарде и сколько реально дают за золото,Omas Goldkette liegt im Schrank? Beim Pfandhaus gibt es dafür sofort Geld – ganz ohne Schufa-Abfrage. So funktioniert es.,Бабушкина золотая цепочка лежит в шкафу? В ломбарде за неё сразу дадут денег — без запроса в SCHUFA. Как это работает.,"видео UGC 9:16 (руки, шкатулка, весы) TT",Pfandkredit 2026: Wie viel Geld gibt es für Gold und Schmuck?,низкий,Planner «pfandkredit» 590 — мало; «kleinkredit» 9 900; класса нет,малый объём; «ohne Schufa» — Meta-риск,Meta: высокий риск — «без проверки»
18,DE,угол первым,кредиты · DE · угол «когда банк сказал нет — деньги от частных лиц»,P2P Kredite | Kredit aufnehmen | Privatkredit,"25–50, получили отказ банка",Как работают кредиты от частных лиц (P2P-платформы) и где там подвох,Die Bank sagt Nein? Warum sich Tausende Deutsche Geld von Privatleuten leihen – und worauf man achten muss.,Банк отказал? Почему тысячи немцев занимают у частных лиц — и на что смотреть.,видео UGC 9:16 TT,P2P-Kredite 2026: So funktioniert Geld leihen von Privat,низкий,"Planner «p2p kredite» 2 900 (+26%); класса нет, донора нет","нет ни донора, ни класса — чистая разведка",
19,DE,угол первым,кредиты · DE · угол «телефон в рассрочку — сколько в итоге»,Ratenzahlung | Kreditkarte mit Ratenzahlung | Kleinkredit,"18–35, покупают технику в рассрочку",Сколько на самом деле стоит смартфон в рассрочку и когда выгоднее мини-кредит,Neues Handy auf Raten: So viel zahlen Sie am Ende wirklich – der Vergleich überrascht.,Новый телефон в рассрочку: сколько вы заплатите в итоге — сравнение удивит.,видео UGC 9:16 (распаковка телефона + калькулятор) TT,Handy auf Raten oder Kleinkredit? Der ehrliche Kostenvergleich 2026,низкий,Planner «ratenzahlung» 4 400 (−18%); донор PL «Telewizor na Raty Bez Bik» — «средний» (другие); в DE класса нет,BNPL-тема без бренда слабее; ключ «ratenzahlung» размыт,
20,GB,клон доказанного (шаблон 60+ → британский продукт equity release),кредиты · UK · угол «деньги из своего дома после 60»,equity release | lifetime mortgage | equity release calculator | loans for over 60s,владельцы жилья 60–80 (в крео: пара 65+ у дома),"Сколько денег можно достать из стоимости своего дома после 55–60, не переезжая",Aged 60+ and own your home? Here's how much of it you could unlock in 2026 – without moving out.,Вам 60+ и дом ваш? Вот сколько из его стоимости можно получить в 2026 — не переезжая.,статика FB 4:5 (как доказанные пенсионные HU/LT) + видео UGC TT,Equity release in 2026: how much can you unlock and what it really costs,высокий,"Planner «equity release» 14 800, «equity release calculator» 5 400, «lifetime mortgage» 4 400; донор 60+ LT $0.297 + паттерн «калькулятор» HU/PT $0.39–0.46; класса нет",наши UK-кредиты (май/июль) дали $0.14–0.17 за клик при клике $0.21–0.32 — UK-клик дорогой,
21,GB,клон доказанного (шаблон «кредит пенсионеру»),кредиты · UK · угол «на пенсии — дадут ли заём»,loans for pensioners | loans for over 60s | personal loan | unsecured personal loan,пенсионеры 63–80,Дадут ли пенсионеру в Британии потребзаём и что на самом деле проверяют кредиторы,Retired at 67 – can you still get a personal loan? What UK lenders actually check (hint: it's not your age).,Вышли на пенсию в 67 — дадут ли ещё заём? Что британские кредиторы проверяют на самом деле (подсказка: не возраст).,статика FB 1:1 + видео UGC TT,Loans for pensioners UK 2026: how much you can borrow on a pension,средний,донор LT $0.297 (211 кл.); Planner по «loans for pensioners/over 60s» строк не вернул; «personal loan» 49 500,"в UK спрос 60+ уходит в equity release, а не в потребзаём — объём может не набраться",
22,GB,гипотеза — VISYMO en_GB (карточные ключи «средний» у других),кредиты · UK · угол «перенести долг на 0%»,balance transfer credit card | 0 interest credit cards | Apply for a Credit Card Online | credit card with instant use,"25–55, есть долг по кредитке","Как британцы перестают платить проценты по кредитке, перенося долг на карту с 0% — и в чём подвох",Still paying interest on your credit card? Thousands of Brits moved their balance to a 0% card – here's the catch nobody mentions.,"Всё ещё платите проценты по кредитке? Тысячи британцев перенесли долг на карту с 0% — вот подвох, о котором молчат.",видео UGC 9:16 TT + статика FB,Balance transfer cards 2026: how 0% deals work and the fees to watch,высокий,"Planner «balance transfer credit card» 49 500, «0 interest credit cards» 33 100; 4 карточных UK-ключа — «средний» у других",«0%» на крео — цифра стоимости кредита; держать как вопрос/разоблачение,
23,GB,гипотеза — VISYMO en_GB,"кредиты · UK · угол «карта, которой платишь в тот же день»",Credit Card with Instant Use | Credit Cards with Instant Use | instant credit card | Apply for a Credit Card Online,25–45,Как работают кредитки «instant use»: подал заявку утром — платишь телефоном к обеду,"Applied in the morning, paying with it by lunch: how 'instant use' credit cards actually work.",Подал заявку утром — платишь ей к обеду: как на самом деле работают кредитки с мгновенным использованием.,"видео UGC 9:16 (кофе, телефон, оплата) TT",Instant use credit cards UK 2026: how they work and who qualifies,средний,"3 ключа — «средний» у других (UK); Planner «instant credit card» 1 600, «credit card with instant use» 1 300",мелкий объём; «instant approval» нельзя — CONC 3.3.3R,Meta/FCA: не обещать одобрение
24,GB,угол первым,кредиты · UK · угол «кредитная история с нуля»,credit builder card | starter credit cards | student credit cards,"18–30, без кредитной истории","Как за полгода собрать кредитную историю с нуля, чтобы потом дали заём, телефон в контракт и квартиру","No credit history = no loan, no phone contract, no flat. The card UK banks use to build your score in 6 months.","Нет кредитной истории = ни займа, ни контракта на телефон, ни квартиры. Карта, которой британские банки строят вам рейтинг за 6 месяцев.",видео UGC 9:16 (молодой человек в съёмной комнате) TT,Credit builder cards 2026: how to build a credit score from zero,средний,"Planner «credit builder card» 12 100, «student credit cards» 4 400 (+50%), «starter credit cards» 1 600 (+30%); донор PL «Pierwszy Kredyt» — «средний» (другие)","молодые кликают дёшево, выплата по стартовым картам неизвестна",
25,GB,угол первым,кредиты · UK · угол «новые в UK»,credit builder card | Debit Card Account | overdraft | personal loan,"22–45, недавно переехавшие в UK (крео на английском)",Почему новичку в Британии отказывают в займе и какие 3 шага дают первый кредит,New to the UK? Why your bank says no – and 3 steps to get your first credit in 2026.,Недавно в UK? Почему банк отказывает — и 3 шага к первому кредиту в 2026.,видео UGC 9:16 (у окна с видом на Лондон) TT + FB,"New to the UK: bank account, credit history and your first loan",средний,"«Debit Card Account» — «средний» у других; Planner «credit builder card» 12 100, «overdraft» 6 600",аудиторию мигрантов настройкой не выбрать — только крео,
26,GB,угол первым,кредиты · UK · угол «4 счёта — один платёж»,debt consolidation loan | bill consolidation loan | consolidation loans | personal loan for debt consolidation,"30–55, несколько долгов/рассрочек","Когда объединение долгов в один заём экономит деньги, а когда делает хуже","4 bills, 4 due dates, 1 salary. Brits are merging them into one payment – when it saves money and when it doesn't.","4 счёта, 4 даты платежа, 1 зарплата. Британцы сводят их в один платёж — когда это экономит, а когда нет.",видео UGC 9:16 (4 конверта на столе) TT + статика FB,"Debt consolidation loans 2026: pros, cons and what it really costs",высокий,"Planner «debt consolidation loan» 33 100, «bill consolidation loan» 33 100, «debt consolidation» 14 800 (+50%); донор DE «Kredit für Verschuldete» — «высокий» (другие)",Personal hardship у Meta; своей выплаты нет,Meta: Personal hardship
27,GB,угол первым (новостной повод),кредиты · UK · угол «компенсация по автокредиту»,car finance claim | car finance | car loan,"25–65, брали машину в кредит в 2007–2024","Как проверить, положена ли компенсация по автокредиту 2007–2024 по схеме FCA",Had car finance between 2007 and 2024? The FCA says millions may be owed money – here's how to check.,Брали машину в кредит в 2007–2024? FCA говорит: миллионам могут быть должны — вот как проверить.,видео UGC 9:16 (мужчина у старой машины с письмом) TT + FB,Car finance compensation 2026: who qualifies under the FCA redress scheme,средний,"Planner «car finance claim» 27 100, «car finance» 90 500; FCA PS26/3 (30.03.2026): ~£7.5 млрд, в среднем £829 на договор (по сниппету); класса нет","Google RAF «Free or cash offers» — не обещать сумму; схема частично приостановлена Upper Tribunal; это не кредит, выплата может быть низкой",риск модерации: обещание денег
28,GB,угол первым,"кредиты · UK · угол «PCP, HP или заём — одна машина, разница £3 000»",car finance | car loan | car loan comparison | zuto car finance,"22–45, выбирают машину в кредит","Чем отличаются PCP, HP и потребзаём на машину и почему итоговая разница — тысячи фунтов","PCP, HP or a personal loan? Same car, same price – up to £3,000 difference by the end. Here's why.","PCP, HP или потребзаём? Та же машина, та же цена — до £3 000 разницы в конце. Вот почему.",карусель FB (3 карточки PCP/HP/Loan) + видео TT,PCP vs HP vs personal loan: the real cost of car finance in 2026,средний,"Planner «car finance» 90 500 (−18%), «car loan» 22 200, «car loan comparison» 4 400 (+22%); донор FR «voiture sans apport» — «средний» (другие)",сумма «£3 000» на крео — при отклонении убрать,
29,GB,угол первым (паттерн «калькулятор»),кредиты · UK · угол «фиксированная ставка заканчивается»,remortgage calculator | remortgage | remortgage deals | mortgage quotes,"35–60, у кого заканчивается фиксированная ставка","Что сделать за 3 месяца до конца фиксированной ставки, чтобы не перейти на дорогую SVR",Fixed rate ending this year? Don't let your lender roll you onto the SVR – what to do 3 months before.,Фиксированная ставка заканчивается в этом году? Не дайте банку перевести вас на SVR — что сделать за 3 месяца.,карусель FB + статика,"Remortgage in 2026: calculator, timing and how to avoid the SVR",высокий,"Planner «remortgage calculator» 22 200 (+23%), «mortgage quotes» 27 100 (+177%), «remortgage» 12 100 (+22%); паттерн «калькулятор» — наш самый дорогой",ипотека у нас не измерена — оценка по паттерну,
30,GB,угол первым,кредиты · UK · угол «котёл умер в октябре»,home improvement loan | home improvement financing | boiler finance | secured loan,"35–70, владельцы жилья",Как британские домовладельцы растягивают оплату нового котла/ремонта и какой вариант забывают,Boiler died in October? How UK homeowners spread the cost – and the option most people forget.,"Котёл умер в октябре? Как британцы растягивают оплату — и вариант, о котором забывают.","видео UGC 9:16 (холодная кухня, пар изо рта) TT + статика FB","Boiler and home improvement finance 2026: loans, 0% plans and grants",средний,"Planner «home improvement loan» 6 600, «home improvement financing» 6 600, «secured loan» 8 100; класса нет",сезонный угол — окно октябрь–январь,
31,GB,угол первым,кредиты · UK · угол «госзаём на свой бизнес»,start up loans | business loan | small business loans | loans for self employed,"21–50, хотят открыть дело / самозанятые",Государство даёт заём до £25 000 на старт бизнеса с фиксированной ставкой и ментором — мало кто знает,"The UK government lends up to £25,000 to start a business – fixed rate, plus a free mentor. Few people know it exists.",Правительство UK даёт до £25 000 на старт бизнеса — фиксированная ставка и бесплатный ментор. Мало кто знает.,видео UGC 9:16 (девушка открывает кофейню) TT + FB,Start Up Loans 2026: how the government-backed business loan works,средний,"Planner «start up loans» 5 400 (+84%), «business loan» 27 100, «small business loans» 6 600 (+50%); Start Up Loans £500–25 000, ставка 7.5% с 06.04.2026 (по сниппету british-business-bank)",госпрограмма может увести клики в госсайты с низкой выплатой,
32,GB,угол первым,кредиты · UK · угол «£1 000 без payday»,1000 loan | small loans | personal loan,22–45,"Где взять £1 000 дешевле, чем у payday-кредиторов: варианты, которые банки не рекламируют","Need £1,000 but scared of payday lenders? The cheaper options UK banks don't advertise.","Нужно £1 000, но страшно идти к payday-кредиторам? Более дешёвые варианты, которые банки не рекламируют.",видео UGC 9:16 TT,"Borrowing £1,000 in 2026: credit union, overdraft, personal loan compared",средний,"донор HU «Kis Összegű Kölcsön Azonnal» $0.386; Planner «small loans» 12 100, «1000 loan» 6 600",рядом со словом payday — Meta может счесть рекламой payday,Meta: payday/≤90 дней — не обещать срок
33,GB,угол первым,кредиты · UK · угол «золото в ломбард»,pawnbroker | small loans,40–75,Как работает ломбард в 2026 и сколько дают за золото — законно без проверки кредитной истории,"Grandma's gold ring could cover this month's bills – how pawnbrokers work in 2026 (no credit check, legally).","Бабушкино золотое кольцо может покрыть счета этого месяца — как работают ломбарды в 2026 (без проверки истории, законно).",видео UGC 9:16 TT,Pawnbroker loans 2026: how much you get for gold and what happens if you can’t repay,низкий,Planner «pawnbroker» 6 600 (+22%); класса нет; CONC 3.3.3R не применяется к ломбардным займам в пределах стоимости вещи (по сниппету FCA),«no credit check» на крео — Meta всё равно может отклонить,Meta: высокий риск — «без проверки»
34,GB,угол первым (тренд),кредиты · UK · угол «сколько на самом деле вернут студенты»,student loan | apply for a student loan | student credit cards,17–25 и их родители,Сколько реально выплачивают по студенческому займу первокурсники 2026 и что с ним будет,Student loan repayments changed – here's what 2026 starters will actually pay back (it's not what parents think).,"Правила выплаты студзайма изменились — вот сколько первокурсники 2026 реально вернут (не то, что думают родители).",видео UGC 9:16 TT,Student loans 2026: repayment rules explained,низкий,"Planner «student loan» 135 000 (+50%) — огромный объём, но это госпродукт; класса нет","госпродукт — выплата RSOC, скорее всего, низкая; Meta запрещает «misleading student loan consolidation/forgiveness»",Meta: осторожно — студзаймы
35,GB,угол первым,кредиты · UK · угол «нашли дом до продажи своего»,bridging loan | bridging loan calculator | secured loan calculator,"35–65, меняют жильё","Как работает бридж-кредит, когда новый дом нашёлся раньше, чем продан старый, и сколько он стоит в месяц",Found your dream home before selling yours? How a bridging loan works – and what it really costs per month.,"Нашли дом мечты раньше, чем продали свой? Как работает бридж-кредит — и сколько он стоит в месяц.",статика FB + видео TT,"Bridging loans 2026: calculator, costs and alternatives",средний,"Planner «bridging loan» 14 800, «bridging loan calculator» 3 600, «secured loan calculator» 1 900; паттерн «калькулятор»",узкая платёжеспособная аудитория — клик дорогой,
